date,code,open,high,low,close,change,volume,money,traded_market_value,market_value,turnover,adjust_price,report_type,report_date,PE_TTM,PS_TTM,PC_TTM,PB,adjust_price_f
2013-06-30,sz300293,13.72,14.49,11.8,13.5,-0.013878460598649833,16732186.0,226045087.07,607500000.0,2430000000.0,0.37182635555555554,41.114812,2013-03-31,2013-04-25,25.960776,4.047276999999999,-4.820175,3.847925,8.581155
2013-07-07,sz300293,13.17,15.85,13.17,14.54,0.07703733319350903,22634702.0,338459406.43999994,654300000.0,2617200000.0,0.5029933777777778,44.282188,2013-03-31,2013-04-25,27.960725,4.359068,-5.191508,4.144359,9.242224
2013-07-14,sz300293,14.19,14.96,13.31,14.57,0.0020633079353982176,14020104.0,198768863.10000002,655650000.0,2622600000.0,0.3115578666666667,44.373554999999996,2013-03-31,2013-04-25,28.018417,4.368062,-5.20222,4.152909999999999,9.261292999999998
2013-07-21,sz300293,14.88,21.12,14.88,20.89,0.43376919819558424,52115589.0,935630019.3800001,940050000.0,3760200000.0,1.1581242,63.621437,2013-03-31,2013-04-25,40.171943,6.262793,-7.458783,5.954315,13.278557000000001
2013-07-28,sz300293,20.77,25.18,20.4,22.31,0.06797507304821204,53909830.0,1232348843.3899999,1003950000.0,4015800000.0,1.1979962222222222,67.94610899999999,2013-03-31,2013-04-25,42.902634,6.688507,-7.965794,6.3590599999999995,14.181168
2013-08-04,sz300293,22.2,24.42,20.3,23.19,0.03944289136449841,38024510.0,847417469.3400002,1043550000.0,4174200000.0,0.8449891111111111,70.6261,2013-03-31,2013-04-25,44.594838,6.952321,-8.279988000000001,6.609878999999999,14.740514000000001
2013-08-11,sz300293,24.0,25.51,21.5,21.92,-0.05476431653473923,41856361.0,1004519383.1700001,986400000.0,3945600000.0,0.9301413555555555,66.75831,2013-03-31,2013-04-25,42.152632000000004,6.571582,-7.82654,6.2478940000000005,13.93326
2013-08-18,sz300293,21.88,23.12,20.3,20.52,-0.06386830892460083,24345785.0,537248057.81,923400000.0,3693600000.0,0.5410174444444444,62.49456899999999,2013-03-31,2013-04-25,39.460415000000005,6.151866,-7.326672,5.848851,13.043366
2013-08-25,sz300293,20.3,23.43,20.0,22.57,0.09990240417645646,29176858.0,654717840.89,1015650000.0,4062600000.0,0.6483746222222222,68.737927,2013-03-31,2013-04-25,43.402605,6.766452,-8.058624,6.433166,14.346429999999998
2013-09-01,sz300293,22.6,23.09,20.58,20.8,-0.07842264931089393,18735294.0,411269875.19000006,936000000.0,3744000000.0,0.41633986666666667,63.347317000000004,2013-06-30,2013-08-26,35.971539,4.788704,-6.945664999999999,5.752351999999999,13.221345000000001
2013-09-08,sz300293,20.8,24.88,20.78,23.6,0.13461529563291963,22105731.0,505497909.07,1062000000.0,4248000000.0,0.49123846666666665,71.874835,2013-06-30,2013-08-26,40.813859,5.433337,-7.880658,6.526706,15.00114
2013-09-15,sz300293,23.05,23.35,20.78,21.43,-0.09194967406725119,16693716.0,364222878.64000005,964350000.0,3857400000.0,0.3709714666666667,65.265967,2013-06-30,2013-08-26,37.061038,4.933743,-7.156034,5.926578,13.621789999999999
2013-09-22,sz300293,21.5,22.5,21.26,21.93,0.023332114684536887,8545245.0,186842283.91,986850000.0,3947400000.0,0.18989433333333333,66.78876,2013-06-30,2013-08-26,37.92575,5.048858,-7.322999,6.064857,13.939615
2013-09-29,sz300293,22.5,22.65,20.53,20.85,-0.049247195977731195,13166997.0,285452187.43,938250000.0,3753000000.0,0.29259993333333334,63.499601,2013-06-30,2013-08-26,36.058013,4.800216000000001,-6.962362,5.76618,13.253129000000001
2013-10-06,sz300293,21.0,21.12,20.16,20.78,-0.0033570000000000544,2643533.0,54396435.43,935100000.0,3740400000.0,0.058745177777777775,63.286432999999995,2013-06-30,2013-08-26,35.936966999999996,4.784101000000001,-6.9389899999999995,5.746823,13.208638
2013-10-13,sz300293,20.84,23.0,20.6,21.02,0.0115489234654933,15408579.0,333487192.03999996,945900000.0,3783600000.0,0.34241286666666665,64.017323,2013-06-30,2013-08-26,36.352,4.839353,-7.019128,5.813193,13.361182999999999
2013-10-20,sz300293,21.01,22.39,19.2,19.51,-0.07183708034063874,18768682.0,382027105.13,877950000.0,3511800000.0,0.41708182222222223,59.418505,2013-06-30,2013-08-26,33.740578,4.491708,-6.514894,5.39559,12.401355
